slot,cell_id,ue_id,sinr_db,se_bps_hz,n_layers
0,16,13,-34.86,0.0005,2
0,16,14,-42.44,0.0001,2
0,16,15,-32.07,0.0009,2
0,16,16,-24.30,0.0053,2
0,16,17,-29.74,0.0015,2
0,16,18,-40.69,0.0001,2
0,16,19,-4.69,0.4218,2
0,16,20,0.17,1.0289,2
0,16,21,-35.72,0.0004,2
0,16,22,-44.61,0.0000,2
0,16,23,-40.52,0.0001,2
0,16,24,-43.14,0.0001,2
0,16,25,-35.16,0.0004,2
0,16,26,-32.03,0.0009,2
0,16,27,-48.94,0.0000,2
0,16,28,-16.49,0.0320,2
0,16,29,-55.09,0.0000,2
0,16,30,-18.39,0.0208,2
0,16,31,-28.25,0.0022,2
0,16,32,-20.48,0.0129,2
0,16,33,12.75,4.3112,2
0,16,34,-48.52,0.0000,2
0,16,35,-15.07,0.0442,2
0,16,36,-12.76,0.0744,2
0,16,37,-39.26,0.0002,2
0,16,38,-29.70,0.0015,2
0,16,39,-15.88,0.0367,2
0,16,40,-25.92,0.0037,2
0,16,41,-19.97,0.0144,2
0,17,0,-60.79,0.0000,2
0,17,1,-38.66,0.0002,2
0,17,2,-40.36,0.0001,2
0,17,3,-25.16,0.0044,2
0,17,4,-43.27,0.0001,2
0,17,5,-42.85,0.0001,2
0,17,6,-34.59,0.0005,2
0,17,7,-1.40,0.7862,2
0,17,8,7.40,2.6987,2
0,17,9,-11.65,0.0955,2
0,17,10,-38.20,0.0002,2
0,17,11,-0.72,0.8859,2
0,17,12,-40.16,0.0001,2
0,17,13,-41.33,0.0001,2
0,17,14,-47.56,0.0000,2
0,17,15,-49.46,0.0000,2
0,17,16,-29.16,0.0018,2
0,17,17,-22.42,0.0082,2
0,17,18,-23.64,0.0062,2
0,17,19,0.58,1.0992,2
0,17,20,-10.80,0.1153,2
0,17,21,-22.60,0.0079,2
0,17,22,-28.79,0.0019,2
0,17,23,-11.06,0.1087,2
0,17,24,-43.32,0.0001,2
0,17,25,-30.17,0.0014,2
0,17,26,-28.29,0.0021,2
0,17,27,-32.58,0.0008,2
0,17,28,-11.14,0.1069,2
0,17,29,-36.37,0.0003,2
0,17,30,11.19,3.8229,2
0,17,31,-12.97,0.0710,2
0,17,32,-11.97,0.0888,2
0,17,33,27.64,9.1857,2
0,17,34,-4.57,0.4318,2
0,17,35,11.85,4.0269,2
0,17,36,-40.56,0.0001,2
0,17,37,-51.04,0.0000,2
0,17,38,-39.87,0.0001,2
0,17,39,-36.63,0.0003,2
0,17,40,-21.71,0.0097,2
0,17,41,-60.79,0.0000,2
0,18,0,-30.27,0.0014,2
0,18,1,-32.35,0.0008,2
0,18,2,-32.66,0.0008,2
0,18,3,-38.69,0.0002,2
0,18,4,-24.58,0.0050,2
0,18,5,-39.43,0.0002,2
0,18,6,-63.22,0.0000,2
0,18,7,0.23,1.0386,2
0,18,8,-47.09,0.0000,2
0,18,9,-41.81,0.0001,2
0,18,10,-33.64,0.0006,2
0,18,11,-8.30,0.1989,2
0,18,12,-60.21,0.0000,2
0,18,13,-30.49,0.0013,2
